iter	RMSE
0	134.9311352
1	134.7084743
2	134.4837481
3	134.2491059
4	134.021357
5	133.7976993
6	133.5724567
7	133.3567157
8	133.1345865
9	132.9306938
10	132.7042629
11	132.508312
12	132.2833113
13	132.0736834
14	131.8549753
15	131.6347866
16	131.4348091
17	131.2258942
18	131.0061638
19	130.7904342
20	130.5734671
21	130.3675544
22	130.1633605
23	129.9469753
24	129.7341669
25	129.5369543
26	129.3333383
27	129.1448886
28	128.9498873
29	128.7453221
30	128.558464
31	128.3480581
32	128.1437503
33	127.9399101
34	127.7268807
35	127.5299998
36	127.3285904
37	127.1312206
38	126.9240848
39	126.7192808
40	126.5243835
41	126.3228933
42	126.1266948
43	125.9307814
44	125.7383548
45	125.535687
46	125.3410059
47	125.1396154
48	124.9382447
49	124.748075
50	124.5498299
51	124.3639918
52	124.176328
53	123.9840276
54	123.786501
55	123.5891994
56	123.396247
57	123.2084674
58	123.0195916
59	122.830248
60	122.6331771
61	122.4416806
62	122.2483738
63	122.0606805
64	121.8740131
65	121.6810943
66	121.4955065
67	121.3110222
68	121.1298829
69	120.9492738
70	120.7657091
71	120.5975027
72	120.4147042
73	120.2337778
74	120.0572064
75	119.8862282
76	119.7056018
77	119.5368106
78	119.363501
79	119.1910729
80	119.0048557
81	118.8211733
82	118.6475746
83	118.4802794
84	118.3036041
85	118.1354402
86	117.9568179
87	117.7963102
88	117.6214296
89	117.4508313
90	117.2799603
91	117.1170573
92	116.962145
93	116.7825718
94	116.6120039
95	116.4338741
96	116.2715567
97	116.101212
98	115.932743
99	115.7625569
100	115.5962615
101	115.4225842
102	115.2615652
103	115.1015041
104	114.9388636
105	114.7721723
106	114.6117302
107	114.459948
108	114.2935569
109	114.1237945
110	113.953921
111	113.8036898
112	113.6368211
113	113.4884819
114	113.3207268
115	113.1715286
116	113.0124417
117	112.8453882
118	112.7003933
119	112.552997
120	112.3881167
121	112.2264392
122	112.0716888
123	111.9110788
124	111.7722324
125	111.6172188
126	111.4618514
127	111.3174146
128	111.1643799
129	111.016321
130	110.8581607
131	110.7052462
132	110.5484704
133	110.3934899
134	110.2531355
135	110.1055903
136	109.9617305
137	109.8160633
138	109.6734687
139	109.5257957
140	109.3762478
141	109.2308501
142	109.0866281
143	108.9424226
144	108.7942698
145	108.6535204
146	108.5050357
147	108.3561583
148	108.2122585
149	108.0743412
150	107.934619
151	107.7931246
152	107.6534479
153	107.5196524
154	107.3845681
155	107.2462135
156	107.1066664
157	106.9610342
158	106.8381857
159	106.699639
160	106.5613381
161	106.4350766
162	106.2923686
163	106.1598271
164	106.0181701
165	105.8879652
166	105.7573577
167	105.622787
168	105.4870613
169	105.342811
170	105.2012662
171	105.0591936
172	104.931828
173	104.7922149
174	104.6558159
175	104.5238225
176	104.3900731
177	104.2535072
178	104.1258359
179	103.9853218
180	103.8566753
181	103.720507
182	103.5909452
183	103.4586335
184	103.3334514
185	103.2077142
186	103.073176
187	102.949235
188	102.8200719
189	102.6801051
190	102.5565606
191	102.4270588
192	102.3114416
193	102.1816902
194	102.0523555
195	101.9237676
196	101.7918079
197	101.6702594
198	101.5536703
199	101.4354349
200	101.3143508
201	101.190796
202	101.0780012
203	100.9569031
204	100.8300417
205	100.7081483
206	100.5933564
207	100.4787352
208	100.3628311
209	100.2407577
210	100.1188212
211	99.99320671
212	99.87281035
213	99.75165988
214	99.63658009
215	99.52067872
216	99.41076828
217	99.29035635
218	99.18118403
219	99.06071514
220	98.94002172
221	98.82424658
222	98.70433128
223	98.57892133
224	98.46545332
225	98.35087472
226	98.23722738
227	98.11537763
228	98.00256532
229	97.88600419
230	97.77878962
231	97.67266601
232	97.56582235
233	97.46143167
234	97.34510283
235	97.2250373
236	97.12422019
237	97.0232528
238	96.91487473
239	96.80027924
240	96.68997354
241	96.58493045
242	96.47709446
243	96.3765333
244	96.27397841
245	96.15751236
246	96.04676298
247	95.94517493
248	95.84144054
249	95.73699178
250	95.62664808
251	95.52248902
252	95.41612532
253	95.30715279
254	95.20550858
255	95.10297353
256	94.99533407
257	94.88556815
258	94.78752508
259	94.69257058
260	94.59952517
261	94.48691101
262	94.38059377
263	94.28167186
264	94.1812075
265	94.07517295
266	93.98038677
267	93.88351897
268	93.78608046
269	93.69238579
270	93.59372724
271	93.49629338
272	93.40166208
273	93.30404842
274	93.21122691
275	93.10311513
276	93.00557563
277	92.90465438
278	92.80211754
279	92.7000906
280	92.6046265
281	92.51181986
282	92.40901237
283	92.31187247
