iter	Passed	Remaining
0	34	104016
1	66	99990
2	103	103608
3	136	102135
4	175	105221
5	203	101704
6	233	100036
7	266	99490
8	295	98217
9	326	97679
10	357	97081
11	387	96384
12	418	96115
13	464	99011
14	512	102049
15	565	105392
16	608	106747
17	644	106837
18	680	106807
19	715	106537
20	756	107337
21	785	106389
22	814	105372
23	845	104780
24	875	104227
25	909	104066
26	939	103449
27	968	102747
28	994	101935
29	1025	101493
30	1056	101201
31	1083	100523
32	1114	100203
33	1144	99857
34	1175	99582
35	1214	99973
36	1245	99735
37	1275	99397
38	1312	99637
39	1352	100087
40	1385	99985
41	1416	99768
42	1447	99569
43	1476	99189
44	1503	98708
45	1528	98139
46	1556	97809
47	1585	97526
48	1617	97418
49	1647	97231
50	1675	96885
51	1708	96878
52	1736	96582
53	1772	96693
54	1808	96851
55	1836	96569
56	1866	96374
57	1901	96455
58	1932	96314
59	1965	96324
60	1996	96195
61	2030	96237
62	2060	96048
63	2090	95893
64	2118	95676
65	2145	95396
66	2179	95398
67	2210	95302
68	2241	95195
69	2269	95012
70	2300	94894
71	2330	94783
72	2359	94592
73	2391	94572
74	2437	95052
75	2472	95141
76	2518	95606
77	2553	95670
78	2587	95659
79	2626	95869
80	2671	96267
81	2717	96697
82	2748	96596
83	2783	96624
84	2821	96749
85	2854	96716
86	2884	96594
87	2916	96510
88	2964	96960
89	2993	96804
90	3025	96704
91	3053	96525
92	3083	96386
93	3113	96243
94	3140	96040
95	3169	95880
96	3201	95809
97	3234	95771
98	3262	95603
99	3288	95371
100	3313	95116
101	3344	95014
102	3372	94842
103	3400	94684
104	3431	94597
105	3462	94540
106	3500	94631
107	3532	94589
108	3570	94710
109	3607	94768
110	3642	94814
111	3683	94994
112	3720	95042
113	3753	95033
114	3788	95043
115	3825	95104
116	3860	95135
117	3892	95080
118	3930	95151
119	3963	95127
120	3991	94961
121	4022	94900
122	4054	94833
123	4091	94889
124	4121	94802
125	4156	94818
126	4191	94809
127	4224	94781
128	4264	94902
129	4296	94844
130	4327	94765
131	4357	94677
132	4391	94672
133	4424	94633
134	4453	94503
135	4488	94525
136	4518	94420
137	4546	94280
138	4573	94139
139	4601	93999
140	4630	93884
141	4660	93794
142	4688	93665
143	4716	93543
144	4752	93579
145	4783	93498
146	4809	93341
147	4835	93176
148	4864	93087
149	4906	93232
150	4936	93143
151	4965	93028
152	4995	92949
153	5026	92890
154	5056	92819
155	5083	92680
156	5110	92541
157	5136	92391
158	5163	92254
159	5194	92198
160	5225	92151
161	5254	92056
162	5281	91920
163	5318	91975
164	5343	91819
165	5371	91706
166	5397	91559
167	5425	91451
168	5452	91338
169	5480	91229
170	5506	91098
171	5534	90992
172	5558	90835
173	5586	90730
174	5613	90613
175	5639	90495
176	5672	90474
177	5705	90460
178	5768	90915
179	5909	92575
180	5999	93445
181	6054	93751
182	6099	93886
183	6134	93888
184	6171	93902
185	6200	93814
186	6229	93707
187	6259	93622
188	6285	93479
189	6311	93342
190	6339	93230
191	6373	93211
192	6402	93115
193	6429	92995
194	6460	92934
195	6494	92915
196	6531	92926
197	6562	92870
198	6601	92920
199	6632	92852
200	6670	92884
201	6697	92775
202	6731	92746
203	6759	92646
204	6795	92653
205	6823	92545
206	6850	92427
207	6886	92432
208	6920	92419
209	6955	92409
210	6994	92453
211	7037	92548
212	7074	92563
213	7109	92561
214	7151	92635
215	7191	92688
216	7237	92824
217	7289	93018
218	7333	93119
219	7381	93273
220	7430	93431
221	7467	93449
222	7506	93482
223	7553	93613
224	7586	93568
225	7617	93493
226	7644	93388
227	7678	93350
228	7705	93240
229	7733	93137
230	7763	93062
231	7797	93038
232	7837	93073
233	7880	93147
234	7912	93100
235	7944	93039
236	7978	93009
237	8011	92968
238	8044	92929
239	8078	92900
240	8108	92830
241	8140	92773
242	8172	92725
243	8203	92663
244	8233	92581
245	8272	92614
246	8303	92553
247	8332	92468
248	8360	92373
249	8391	92302
250	8420	92221
251	8449	92135
252	8481	92093
253	8515	92062
254	8555	92093
255	8589	92067
256	8623	92038
257	8663	92073
258	8704	92117
259	8737	92077
260	8769	92028
261	8809	92062
262	8847	92069
263	8903	92269
264	8949	92370
265	8994	92449
266	9038	92512
267	9081	92578
268	9129	92689
269	9168	92701
270	9209	92745
271	9249	92762
272	9287	92776
273	9324	92770
274	9360	92756
275	9389	92665
276	9413	92542
277	9444	92471
278	9472	92379
279	9495	92246
280	9523	92150
281	9548	92027
282	9575	91927
283	9599	91802
